   Data source: Cometa - EmgTools - 2.1.4 - Files: 0956~... - collection; EMG filter: 0 - 500 Hz     - 
Time(s)  ; L.RecFem(uV) ; L.VasLat(uV) ; L.VasMedO(uV) ; L.VasMedV(uV) 
 14.7580;  13.0794;  23.8905;  38.2538;  29.8035;
 14.7590;  11.6363;  25.7392;  36.9693;  28.3986;
 14.7600;  13.3445;  20.0520;  35.6966;  32.4069;
 14.7610;  13.1889;  12.1356;  30.1322;  33.1252;
 14.7620;  11.9679;   4.2918;  25.5929;  33.8585;
 14.7630;  13.3026;  -2.6702;  23.4196;  37.8741;
 14.7640;  15.2660;  -4.3807;  21.4098;  39.2443;
 14.7650;  15.2233;  -3.9639;  21.3049;  39.7146;
 14.7660;  15.6429;  -0.2451;  24.2566;  35.8340;
 14.7670;  16.2730;   5.0645;  28.1268;  33.4714;
 14.7680;  15.2466;  11.6370;  26.4837;  34.9363;
 14.7690;  16.3614;  11.3144;  29.0541;  33.2507;
 14.7700;  15.9844;  12.6100;  38.3694;  35.6673;
 14.7710;  13.1415;  53.4527;  34.9857;  26.6975;
 14.7720;  13.3216; 117.6288;  29.2357;   5.6413;
 14.7730;  12.5863; 159.7156;  34.7424;   3.2973;
 14.7740;  12.2581; 169.3708;  35.8140;  11.0436;
 14.7750;  14.3471; 148.4313;  25.0996;  20.0810;
 14.7760;  16.6187; 104.7457;   9.6941;  31.9640;
 14.7770;  20.2723;  43.0858;  -3.0995;  38.2533;
 14.7780;  20.0563; -21.6679; -14.2777;  46.4833;
 14.7790;  19.4915; -82.0227; -17.8047;  51.8893;
 14.7800;  24.0065; -146.9109;  -7.8817;  57.3190;
 14.7810;  25.8230; -165.9634;  -0.8233;  66.1913;
 14.7820;  24.8780; -112.5042;   3.4249;  54.0641;
 14.7830;  22.4869; -58.1145;  12.2691;  35.6467;
 14.7840;  20.4215; -34.1789;  16.1519;  33.8444;
 14.7850;  25.1130; -18.3637;  14.9388;  35.6279;
 14.7860;  30.7579;  -7.1140;   8.2896;  36.1249;
 14.7870;  31.0622;   6.3187;  -3.0887;  36.1796;
 14.7880;  29.0862;  14.6518; -10.1797;  38.0348;
 14.7890;  27.0442;   8.0590;  -8.8205;  40.1776;
 14.7900;  24.9928;   4.9619;  -1.3998;  36.1277;
 14.7910;  23.5079;   3.2905;   3.3007;  29.9369;
 14.7920;  21.1595;   1.0496;   8.7401;  24.7279;
 14.7930;  16.4396;  12.3783;  17.2166;  22.4510;
 14.7940;  14.0659;  19.6073;  14.3633;  21.6196;
 14.7950;  14.2199;  15.9475;   0.7168;  23.8757;
 14.7960;  15.1931;   6.6191; -10.3944;  32.9373;
 14.7970;  19.0103; -15.3498; -10.8630;  39.3032;
 14.7980;  19.7501; -24.6278;  -5.6012;  51.0687;
 14.7990;  18.6297; -12.6943;  -3.2277;  70.8383;
 14.8000;  19.4785;  -1.8304;  -1.1991;  71.1332;
 14.8010;  17.5000;   9.5822;  -2.0491;  55.6758;
 14.8020;  17.1263;  17.2905;  -5.8153;  46.2172;
 14.8030;  17.5978;  17.5294;  -7.0721;  41.0594;
 14.8040;  15.0737;  19.7706;  -8.0261;  37.8530;
 14.8050;  14.9019;  19.7484;  -8.5540;  36.1021;
 14.8060;  14.6118;  18.3459;  -5.7584;  33.7185;
 14.8070;  14.2902;  20.0268;   7.4394;  33.2163;
 14.8080;  15.5921;  19.7210;  23.4427;  33.0485;
 14.8090;  15.0101;  18.6389;  23.8243;  32.2044;
 14.8100;  15.2224;  20.3407;  15.6477;  34.0190;
 14.8110;  15.2524;  21.1984;   8.2270;  34.8042;
 14.8120;  14.3319;  21.4263;   3.9989;  32.3770;
 14.8130;  14.4973;  23.3027;   4.2478;  31.7112;
 14.8140;  14.0588;  22.7802;   4.4143;  31.9129;
 14.8150;  16.4121;  23.8247;   9.4833;  31.9852;
 14.8160;  19.3591;  26.8938;  13.8466;  32.9316;
 14.8170;  17.3061;  24.9356;  12.4247;  32.7952;
 14.8180;  15.9993;  25.2263;  13.2528;  32.8640;
 14.8190;  17.7056;  26.8903;  12.5129;  33.8844;
 14.8200;  18.2354;  24.2763;  19.3727;  35.1644;
 14.8210;  17.5289;  23.6617;  38.3128;  35.7677;
 14.8220;  17.3304;  23.4188;  50.4076;  33.9468;
 14.8230;  17.6959;  22.8730;  51.7929;  31.2112;
 14.8240;  17.4903;  22.9371;  44.3462;  28.8695;
 14.8250;  17.2165;  22.0305;  34.2441;  28.8887;
 14.8260;  17.7056;  23.1742;  31.0799;  31.3101;
 14.8270;  17.5386;  23.4223;  28.6516;  31.8990;
 14.8280;  16.2616;  21.8678;  26.0414;  31.4537;
 14.8290;  15.5716;  23.0694;  28.0946;  33.8781;
 14.8300;  16.3736;  27.5777;  30.7879;  38.4818;
 14.8310;  17.7893;  28.6464;  30.3504;  39.1108;
 14.8320;  18.0832;  22.6286;  29.1193;  35.5641;
 14.8330;  17.3813;  21.2801;  30.2015;  34.3904;
 14.8340;  18.1258;  23.8989;  30.9898;  34.2117;
 14.8350;  19.0254;  22.6136;  28.7584;  33.5884;
 14.8360;  17.9418;  24.1867;  25.5644;  33.5944;
 14.8370;  17.6517;  25.2998;  26.0332;  32.7687;
 14.8380;  18.1877;  23.5808;  27.6778;  32.7425;
 14.8390;  17.4366;  24.4571;  25.3474;  32.5837;
 14.8400;  16.9116;  24.8136;  26.1594;  31.8210;
 14.8410;  17.6206;  25.4750;  31.7633;  32.3904;
 14.8420;  18.6842;  26.4123;  36.3281;  33.0923;
 14.8430;  18.7467;  25.5231;  38.8243;  34.3014;
 14.8440;  18.4677;  25.4038;  37.2002;  35.1819;
 14.8450;  18.7750;  25.1158;  35.8432;  34.7878;
 14.8460;  18.1145;  24.8224;  36.5101;  34.4437;
 14.8470;  17.4332;  26.2569;  34.6384;  33.8744;
 14.8480;  17.1199;  28.6205;  32.9710;  33.7316;
 14.8490;  15.9482;  29.0363;  33.0974;  34.2383;
 14.8500;  15.8542;  27.0236;  34.4740;  34.4494;
 14.8510;  15.8726;  28.2287;  35.7427;  34.4431;
 14.8520;  14.5241;  30.4292;  34.9724;  34.8220;
 14.8530;  14.5621;  28.3603;  30.5483;  35.1247;
 14.8540;  15.3526;  27.3089;  23.4994;  35.3141;
 14.8550;  15.3631;  28.0032;  21.4652;  36.1875;
 14.8560;  16.4797;  27.6789;  19.8703;  35.1811;
 14.8570;  17.7714;  29.6257;  18.3468;  33.6100;
 14.8580;  17.4567;  30.5101;  28.1214;  34.1995;
 14.8590;  17.1064;  26.8833;  38.2802;  34.5876;
 14.8600;  16.7505;  26.1890;  40.8498;  35.6795;
 14.8610;  16.0356;  29.4196;  38.5572;  35.5476;
 14.8620;  16.7370;  30.2328;  30.0752;  33.2879;
 14.8630;  17.6348;  30.0380;  23.3650;  32.8304;
 14.8640;  17.2621;  30.8526;  17.5419;  32.6660;
 14.8650;  17.3582;  30.0547;  12.4423;  33.6400;
 14.8660;  17.7102;  28.5617;  17.1909;  34.9250;
 14.8670;  17.3925;  28.5700;  26.5203;  35.6737;
 14.8680;  17.5631;  28.9324;  32.3256;  38.8989;
 14.8690;  18.1327;  29.5712;  30.9882;  39.2469;
 14.8700;  18.4926;  29.9633;  28.5386;  38.0392;
 14.8710;  18.8937;  29.2836;  30.1221;  39.8626;
 14.8720;  18.5172;  30.0837;  29.6948;  40.3181;
 14.8730;  18.1384;  29.9281;  37.6127;  39.5441;
 14.8740;  18.8311;  27.4682;  53.2247;  38.9797;
 14.8750;  18.7472;  27.8912;  56.2600;  39.9507;
 14.8760;  18.7159;  29.2926;  53.7916;  40.8383;
 14.8770;  18.7958;  29.8624;  54.2982;  40.0129;
 14.8780;  17.3449;  30.2884;  49.5228;  40.9015;
 14.8790;  17.9776;  29.3587;  43.0155;  37.7911;
 14.8800;  19.2122;  30.2247;  39.5654;  34.0236;
 14.8810;  17.5215;  30.8045;  36.0549;  38.5977;
 14.8820;  17.1316;  30.2782;  32.6603;  41.4159;
 14.8830;  17.9260;  31.6773;  30.5481;  40.4049;
 14.8840;  17.9484;  30.2371;  31.7827;  41.1817;
 14.8850;  18.0387;  28.0111;  36.8705;  40.9441;
 14.8860;  17.9387;  28.1223;  37.7962;  40.5736;
 14.8870;  19.2779;  28.2811;  35.4269;  40.6036;
 14.8880;  19.9840;  30.0687;  36.3447;  40.3837;
 14.8890;  19.0085;  29.1276;  34.4104;  40.4425;
 14.8900;  19.7121;  26.3050;  33.1776;  40.6242;
 14.8910;  20.6652;  27.6492;  36.8987;  41.3382;
 14.8920;  21.4876;  27.3351;  35.3835;  41.2420;
 14.8930;  21.1995;  24.4498;  30.3975;  40.6824;
 14.8940;  18.7573;  23.6943;  23.3841;  39.5980;
 14.8950;  18.9715;  22.9915;  15.2516;  38.3090;
 14.8960;  19.4268;  21.5744;  16.2739;  38.5810;
 14.8970;  17.4692;  20.9500;  20.3073;  37.5364;
 14.8980;  18.8986;  20.4463;  24.0104;  37.1516;
 14.8990;  21.9990;  19.1318;  34.2795;  39.6003;
 14.9000;  21.6133;  17.8614;  43.9008;  40.2204;
 14.9010;  20.0778;  16.0111;  47.4186;  40.4317;
 14.9020;  20.0727;  13.5516;  45.1719;  40.5844;
 14.9030;  19.8953;  13.7056;  40.1603;  39.7655;
 14.9040;  18.8246;  13.8095;  39.2570;  40.9089;
 14.9050;  18.6101;  11.0892;  39.3542;  39.9681;
 14.9060;  18.5232;  10.1339;  37.2696;  38.4649;
 14.9070;  18.1942;  10.1193;  35.0115;  40.6331;
 14.9080;  18.4553;   7.8414;  31.9818;  39.8274;
 14.9090;  18.4077;   6.1451;  28.8808;  38.2013;
 14.9100;  18.1239;   4.8834;  24.5048;  39.4850;
 14.9110;  17.7288;   3.1168;  20.3478;  39.4826;
 14.9120;  17.8063;   2.9490;  17.6784;  40.0638;
 14.9130;  17.6864;   2.1409;  10.9749;  39.1788;
 14.9140;  16.2794;   0.5393;   6.3632;  37.3268;
 14.9150;  16.7087;   0.9276;  10.9221;  39.3954;
 14.9160;  16.7764;   0.4382;  16.7209;  39.6124;
 14.9170;  15.1789;  -0.3433;  18.6428;  39.2682;
 14.9180;  17.1849;   0.4004;  15.1552;  39.5096;
 14.9190;  18.1908;  -1.1600;   8.8823;  36.8268;
 14.9200;  15.6860;  -3.3254;   6.5841;  39.0417;
 14.9210;  14.7179;  -3.9398;   5.4548;  41.3276;
 14.9220;  14.3101;  -5.1082;   5.5909;  38.4734;
 14.9230;  15.3406;  -5.5247;  14.9190;  39.8186;
 14.9240;  16.0541;  -5.9633;  31.3003;  41.1034;
 14.9250;  14.1554;  -7.0321;  41.2092;  40.3330;
 14.9260;  14.7610;  -6.4557;  37.4098;  41.0254;
 14.9270;  14.9193;  -6.2512;  28.1971;  39.9585;
 14.9280;  12.7643;  -6.8199;  19.2837;  40.7367;
 14.9290;  12.8115;  -6.9507;  10.3697;  40.5492;
 14.9300;  12.6473;  -7.4769;   3.6372;  37.5383;
 14.9310;  12.6564;  -6.8588;  -1.8001;  39.2110;
 14.9320;  13.9870;  -6.9149;  -4.9260;  40.2568;
 14.9330;  13.0362;  -8.2792;  -7.0559;  38.5944;
 14.9340;  11.6068;  -6.4195;  -8.2522;  39.4533;
 14.9350;  12.7767;  -5.0017;  -2.1242;  39.8996;
 14.9360;  13.5359;  -6.8549;   3.0407;  39.7668;
 14.9370;  11.1311;  -7.4203;   1.3306;  39.9402;
 14.9380;  10.1475;  -7.4164;   0.9368;  39.6490;
 14.9390;  11.5853;  -7.7250;   2.5524;  39.5829;
 14.9400;  10.5906;  -7.4036;   4.4084;  39.3335;
 14.9410;   9.7913;  -7.6739;   3.2077;  39.0241;
 14.9420;  10.2816;  -7.3316;  -0.8451;  37.0156;
 14.9430;   9.7891;  -5.6078;  -3.8476;  35.8148;
 14.9440;  10.1282;  -3.4795; -10.0433;  38.3334;
 14.9450;  10.2887;  -1.5111; -14.7700;  39.5344;
 14.9460;  10.1257;  -0.4581; -13.2406;  38.9455;
 14.9470;  10.3092;  -0.5148; -11.4671;  36.9420;
 14.9480;   9.9988;  -1.0895;  -9.3843;  33.9475;
 14.9490;  10.2068;  -1.6904;  -6.4004;  34.9548;
 14.9500;  10.0305;  -2.4687;  -0.9487;  36.5303;
 14.9510;   9.4773;  -2.5190;   5.7827;  37.2385;
 14.9520;   9.5379;  -2.0530;   9.8472;  39.7443;
 14.9530;  10.3640;  -1.3445;  18.7368;  39.8738;
 14.9540;  11.0698;   0.0335;  28.5935;  37.9500;
 14.9550;  10.5848;  -1.4914;  26.3353;  35.8644;
 14.9560;  11.8801;  -3.2881;  16.6255;  34.2049;
 14.9570;  12.3057;  -1.1185;   7.7444;  34.7998;
 14.9580;  10.0117;  -0.2232;   2.5690;  36.0375;
 14.9590;  10.0515;  -0.0174;   0.2241;  37.3589;
 14.9600;  10.0829;   1.6484;  -4.0382;  37.4102;
 14.9610;   9.9670;   1.8958; -10.0012;  38.0375;
 14.9620;  10.6887;   1.4104; -17.0851;  40.9722;
 14.9630;  10.0669;   0.7965; -25.1743;  39.3012;
 14.9640;  10.6973;   1.3305; -21.2386;  35.6587;
 14.9650;  10.3747;   2.1915;   2.2827;  35.5186;
 14.9660;   9.9652;   2.2137;  22.8062;  35.6160;
 14.9670;  10.6512;   3.5270;  26.1168;  36.1982;
 14.9680;   9.0521;   4.5704;  26.0712;  35.9388;
 14.9690;  10.0513;   5.8356;  23.5062;  34.1694;
 14.9700;  10.9130;   6.2702;  19.6210;  33.9945;
 14.9710;   9.4723;   4.3696;  29.7096;  35.7051;
 14.9720;  10.9696;   4.5047;  46.0282;  37.6938;
 14.9730;  11.4864;   4.9567;  52.8114;  37.2447;
 14.9740;  11.7812;   5.4938;  47.7551;  37.3156;
 14.9750;  12.1943;   7.3024;  34.6515;  38.2995;
 14.9760;  11.5885;   7.4104;  24.3225;  35.9994;
 14.9770;  12.0305;   7.4633;  18.1396;  34.1888;
 14.9780;   9.9529;   7.4670;  13.9885;  33.1534;
 14.9790;  12.3513;   9.7170;  18.3424;  32.0411;
 14.9800;  16.5135;  11.9124;  25.7727;  32.3827;
 14.9810;  10.5661;   8.0100;  30.3784;  31.9720;
 14.9820;   7.9107;   8.3609;  36.7962;  33.2675;
 14.9830;  10.9941;  12.4143;  41.2914;  34.3362;
 14.9840;   9.6569;  11.1169;  39.8401;  33.3121;
 14.9850;   9.6148;  11.4396;  38.3338;  34.5484;
 14.9860;  10.7643;  12.7293;  37.4924;  34.2474;
 14.9870;  10.2671;  12.0088;  31.8597;  32.8888;
 14.9880;  10.0098;  12.4982;  25.5271;  33.6561;
 14.9890;   9.5525;  12.0858;  23.2840;  32.7422;
 14.9900;  10.1568;  11.9277;  18.9142;  31.6598;
 14.9910;  11.1911;  13.0929;  12.5376;  31.4393;
 14.9920;  11.7712;  13.8597;   8.7207;  29.5693;
 14.9930;  12.1086;  14.2977;   2.7389;  27.4163;
 14.9940;  11.6998;  13.7747;  -6.4939;  27.2319;
 14.9950;  11.6362;  12.9413; -12.3667;  27.2805;
 14.9960;  11.5933;  12.4738; -12.6505;  26.1946;
 14.9970;  11.3529;  12.2306;  -6.4067;  27.0260;
 14.9980;  11.4645;  11.4105;  14.0708;  28.0222;
 14.9990;  11.0769;  10.6926;  43.7918;  28.6847;
 15.0000;  10.8417;  12.1425;  59.3222;  31.8747;
 15.0010;  11.2956;  13.4488;  53.4570;  33.0210;
 15.0020;  11.1687;  14.8390;  39.2487;  31.7450;
 15.0030;  10.4517;  16.9803;  30.4123;  30.8807;
 15.0040;  10.4576;  15.4423;  27.8514;  30.2958;
 15.0050;  11.9725;  13.2380;  22.9460;  30.7484;
 15.0060;  13.5138;  13.8589;  29.2974;  31.0513;
 15.0070;  13.3173;  14.2842;  51.2288;  32.9103;
 15.0080;  13.7768;  16.3424;  59.2863;  34.4965;
 15.0090;  14.5198;  18.3588;  51.2489;  33.3403;
 15.0100;  12.5397;  15.6941;  41.4845;  33.5437;
 15.0110;  12.3760;  13.7378;  31.5837;  33.0192;
 15.0120;  15.0370;  14.7456;  32.3533;  32.7412;
 15.0130;  16.0335;  15.0789;  42.8642;  34.4307;
 15.0140;  16.0515;  14.9252;  50.2401;  34.0770;
 15.0150;  14.8639;  13.8269;  50.5177;  33.8989;
 15.0160;  13.8546;  13.8657;  44.2510;  33.4655;
 15.0170;  14.9662;  15.6611;  38.1853;  33.4837;
 15.0180;  15.0467;  14.9947;  34.1037;  34.7299;
 15.0190;  14.5070;  14.4333;  32.4982;  34.1851;
 15.0200;  15.3401;  14.8534;  36.1323;  36.6392;
 15.0210;  16.8668;  14.4949;  38.3810;  38.0346;
 15.0220;  17.4283;  15.5970;  39.0955;  36.2738;
 15.0230;  17.3218;  14.8615;  40.6141;  39.7833;
 15.0240;  17.9116;  12.7450;  39.2461;  41.9619;
 15.0250;  16.5902;  13.0110;  35.5700;  40.3938;
 15.0260;  15.1166;  12.3211;  29.8299;  40.4438;
 15.0270;  15.1762;  11.4561;  27.1042;  39.5827;
 15.0280;  13.8691;  11.5313;  29.6826;  39.5508;
 15.0290;  13.9467;  10.9622;  30.1003;  40.8419;
 15.0300;  14.7318;  10.7485;  30.2781;  40.8196;
 15.0310;  14.4780;   9.4979;  34.2466;  40.5365;
 15.0320;  15.2928;   9.0363;  38.7131;  41.6976;
 15.0330;  14.5164;  10.6717;  38.5221;  43.5397;
 15.0340;  13.0933;   9.8700;  33.2095;  43.0236;
 15.0350;  14.3301;   8.4223;  30.6155;  42.6555;
 15.0360;  16.9186;   8.9374;  28.3459;  43.2397;
 15.0370;  17.7162;   8.7294;  23.5509;  41.8908;
 15.0380;  15.9015;   9.0556;  28.3735;  42.3486;
 15.0390;  14.8165;  10.9415;  41.8213;  45.4027;
 15.0400;  13.5103;  11.3029;  50.0715;  47.2419;
 15.0410;  12.0267;  10.4564;  47.8315;  47.1750;
 15.0420;  13.1814;  10.6162;  40.8774;  46.7087;
 15.0430;  13.9879;  10.8257;  36.6696;  46.8885;
 15.0440;  13.5507;   9.6473;  30.2367;  47.1689;
 15.0450;  12.5411;   8.2247;  25.1621;  48.3312;
 15.0460;  11.9874;   8.6609;  35.3890;  50.0528;
 15.0470;  13.6617;   9.2906;  48.4945;  51.2912;
 15.0480;  14.8466;   8.2477;  46.9435;  51.6473;
 15.0490;  14.2930;   8.2687;  37.6871;  51.0301;
 15.0500;  13.7344;   9.0655;  33.3459;  52.6746;
 15.0510;  15.3330;   9.0911;  38.2290;  55.2906;
 15.0520;  16.4092;  10.0359;  44.4072;  55.8711;
 15.0530;  14.8635;  10.4318;  41.8189;  56.0189;
 15.0540;  15.9598;   9.9348;  33.6529;  55.2574;
 15.0550;  16.2104;  10.6564;  27.3384;  54.4942;
 15.0560;  13.0623;  11.6411;  24.2417;  54.7017;
 15.0570;  12.0081;  12.1289;  23.1933;  54.7594;
 15.0580;  11.7837;  12.1694;  26.0490;  55.1390;
 15.0590;  12.6122;  12.5368;  30.7492;  55.7516;
 15.0600;  13.3230;  13.5117;  25.8681;  56.3707;
 15.0610;  11.9058;  13.8760;   9.4420;  55.4945;
 15.0620;  11.3385;  13.5385;  -9.7435;  53.6572;
 15.0630;  10.3685;  11.6558; -22.9526;  52.8939;
 15.0640;  10.2773;   9.8236; -13.3280;  53.4289;
 15.0650;  11.6718;  10.1487;  16.0093;  55.8776;
 15.0660;  12.4471;  10.1592;  32.4776;  57.3692;
 15.0670;  13.5253;  10.6038;  33.8124;  59.3969;
 15.0680;  13.4529;  12.0200;  38.2275;  63.1647;
 15.0690;  13.3606;  11.7158;  36.6092;  62.3072;
 15.0700;  13.1277;  10.9176;  24.2020;  59.7337;
 15.0710;  12.3788;  10.9554;  14.8847;  58.5157;
 15.0720;  12.5574;  12.3608;  15.5619;  58.0552;
 15.0730;  11.1785;  13.7464;  21.8285;  60.0906;
 15.0740;  11.9923;  12.2975;  24.0488;  61.1006;
 15.0750;  14.1494;  11.6588;  23.9271;  61.9764;
 15.0760;  13.8488;  13.0172;  26.6936;  61.4222;
 15.0770;  14.6013;  12.0391;  27.4947;  58.8611;
 15.0780;  13.4189;  10.2600;  27.7686;  60.0493;
 15.0790;  14.5401;  10.5629;  27.6995;  57.4154;
 15.0800;  18.8323;  11.7868;  22.6990;  53.6753;
 15.0810;  16.0429;  12.6477;  16.6094;  58.8366;
 15.0820;  14.1103;  13.1588;  12.8981;  61.9859;
 15.0830;  15.9292;  13.5693;  12.9679;  61.0276;
 15.0840;  14.4124;  13.5268;  14.6502;  62.2643;
 15.0850;  14.1702;  13.5913;  13.5321;  62.3744;
 15.0860;  14.1515;  13.8370;  11.4488;  61.0748;
 15.0870;  12.2503;  13.3132;  11.7253;  59.6458;
 15.0880;  11.8113;  13.0925;  17.3858;  59.1610;
 15.0890;  12.4472;  13.7012;  21.6649;  60.4723;
 15.0900;  14.6896;  14.4067;  16.9568;  61.6185;
 15.0910;  16.8594;  14.8486;  11.3995;  61.1517;
 15.0920;  15.8302;  13.8781;   7.7257;  59.3427;
 15.0930;  14.8899;  12.7890;   5.1832;  57.8613;
 15.0940;  16.0644;  13.4702;   3.5741;  57.1742;
 15.0950;  15.4772;  14.1950;  -3.9024;  56.9542;
 15.0960;  15.0555;  14.5159; -13.5403;  56.2409;
 15.0970;  17.3860;  14.3759; -21.6363;  55.6031;
 15.0980;  17.5790;  13.3671; -23.2142;  56.3784;
 15.0990;  17.2283;  13.5524;  -8.9620;  56.1016;
 15.1000;  18.3437;  13.1493;  11.1159;  56.5855;
 15.1010;  17.7762;  11.2956;  26.7193;  58.1756;
 15.1020;  17.3883;  11.9017;  28.9826;  57.3456;
 15.1030;  17.3223;  12.9808;  14.2474;  57.9725;
 15.1040;  17.0476;  13.4123;   2.2939;  58.2848;
 15.1050;  17.2702;  14.9299;  -2.8308;  56.0323;
 15.1060;  17.3947;  14.0707;   0.1148;  56.8263;
 15.1070;  18.1230;  12.7345;  19.5430;  58.6542;
 15.1080;  18.0679;  14.3140;  31.7661;  60.4392;
 15.1090;  18.1003;  14.9292;  25.2355;  61.6069;
 15.1100;  17.8845;  14.0088;  14.3081;  59.2859;
 15.1110;  16.0492;  13.5416;   4.6128;  59.4087;
 15.1120;  16.7108;  13.7305;   0.7671;  60.6614;
 15.1130;  17.3871;  14.0816;  -1.4718;  58.2816;
 15.1140;  15.4717;  13.4212;  -5.5985;  57.0393;
 15.1150;  14.4373;  14.2021;  -8.0076;  56.7714;
 15.1160;  15.1883;  17.4896; -12.7644;  56.4916;
 15.1170;  16.9842;  17.9960; -16.6439;  56.8225;
 15.1180;  16.6505;  14.1425; -14.5022;  55.9567;
 15.1190;  16.6337;  11.7605;  -8.4712;  55.9294;
 15.1200;  18.7443;  13.5312;  -3.6532;  56.0373;
 15.1210;  18.6577;  16.1551;  -2.7238;  56.5936;
 15.1220;  19.7503;  17.9876;   0.5531;  59.0505;
 15.1230;  20.4565;  17.8022;   0.6584;  57.1029;
 15.1240;  18.1876;  15.9088;  -5.8287;  53.4993;
 15.1250;  19.8570;  16.9735;  -6.0734;  55.0814;
 15.1260;  22.9991;  19.1483;  -2.6134;  55.7182;
 15.1270;  22.1545;  17.9313;  -1.7045;  52.5802;
 15.1280;  19.1933;  16.4877;  -2.9884;  49.9102;
 15.1290;  17.3936;  16.4590;  -6.8718;  48.7674;
 15.1300;  16.5145;  15.4317;  -6.8751;  48.0585;
 15.1310;  13.9996;  13.0537;  -4.8473;  46.4377;
 15.1320;  12.6862;  10.8739;  -5.2484;  43.3274;
 15.1330;  11.6985;   9.9817;  -5.4602;  38.6801;
 15.1340;   9.0359;  10.4263;  -6.9833;  35.0338;
 15.1350;   8.7489;  13.6291;  -7.7445;  33.6609;
 15.1360;   9.5048;  18.6677;  -6.8955;  32.4455;
 15.1370;  10.9728;  20.7801;  -7.5567;  33.6576;
 15.1380;  13.2666;  20.8374;  -7.8977;  37.2415;
 15.1390;  12.9871;  22.8020;  -7.9227;  39.1721;
 15.1400;  12.6794;  24.3280;  -8.1420;  40.3935;
 15.1410;  12.9283;  23.0807;  -7.6548;  41.1290;
 15.1420;  12.0403;  20.9877;  -7.2337;  40.5504;
 15.1430;  11.8263;  19.8904;  -7.3800;  39.7478;
 15.1440;  12.8241;  21.6555;  -7.9585;  38.6454;
 15.1450;  13.9753;  23.6882;  -7.8624;  37.3417;
 15.1460;  13.3578;  22.0694;  -7.1134;  35.4906;
 15.1470;  12.6227;  21.2122;  -6.0795;  33.2527;
 15.1480;  12.9179;  22.5462;  -5.6102;  31.7766;
 15.1490;  11.4325;  22.3632;  -6.6568;  30.2711;
 15.1500;  10.3234;  21.7442;  -6.1222;  28.0952;
 15.1510;   8.9864;  20.7795;  -4.6868;  26.0307;
 15.1520;   5.0571;  20.7758;  -5.6315;  24.3638;
 15.1530;   5.5619;  22.7643;  -5.0480;  22.4062;
 15.1540;   9.8891;  21.4673;  -2.2326;  20.9220;
 15.1550;  11.3422;  19.2772;  -1.8472;  21.8588;
 15.1560;  14.2460;  21.4853;  -2.1794;  24.1212;
 15.1570;  17.7832;  23.1516;  -1.4631;  25.6098;
 15.1580;  16.9839;  22.6570;  -1.5557;  26.3532;
 15.1590;  16.5184;  23.1621;  -0.7595;  26.7456;
 15.1600;  17.1622;  23.1353;  -0.2394;  27.2571;
 15.1610;  17.3988;  22.7667;  -1.6680;  28.2061;
 15.1620;  18.0342;  23.2736;  -1.3544;  28.7059;
 15.1630;  17.6782;  23.0506;  -0.9436;  29.1541;
 15.1640;  18.2210;  23.0430;  -1.8621;  30.5080;
 15.1650;  18.7614;  23.1159;  -1.1184;  30.0189;
 15.1660;  17.7216;  22.2023;  -0.3599;  27.5683;
 15.1670;  17.0672;  22.2450;  -1.2432;  26.7313;
 15.1680;  16.0035;  22.8023;  -3.2396;  26.4605;
 15.1690;  15.1148;  24.3960;  -4.2732;  25.8076;
 15.1700;  12.9858;  26.7258;  -4.1481;  24.4961;
 15.1710;  10.8561;  25.8653;  -5.1129;  22.8818;
 15.1720;  11.6089;  24.2143;  -4.7103;  24.0137;
 15.1730;  10.4830;  24.4300;  -4.2499;  22.9422;
 15.1740;   9.7082;  24.2748;  -5.4404;  19.3821;
 15.1750;   9.7940;  23.0217;  -4.7516;  20.5842;
 15.1760;   7.8362;  22.5377;  -3.7320;  19.8199;
 15.1770;   7.6333;  23.6727;  -2.7381;  17.0850;
 15.1780;   5.5198;  22.8190;  -1.9656;  19.1735;
 15.1790;   4.8209;  23.3725;  -2.5517;  16.3811;
 15.1800;   7.6672;  27.1254;  -1.5149;  11.3298;
 15.1810;   4.8087;  25.3160;  -1.2528;  14.5350;
 15.1820;   3.9241;  24.1894;  -2.7345;  17.0097;
 15.1830;   7.4768;  28.1386;  -3.2956;  16.1419;
 15.1840;   7.9902;  27.8858;  -4.3391;  17.6894;
 15.1850;   8.7906;  27.7908;  -5.3512;  18.0577;
 15.1860;   8.9555;  29.7869;  -5.5947;  17.0300;
 15.1870;   8.9664;  29.5782;  -5.8079;  17.6555;
 15.1880;   9.6663;  30.8237;  -6.6556;  18.3127;
 15.1890;   8.7149;  32.4645;  -6.9347;  18.3401;
 15.1900;   9.1121;  32.4693;  -5.9999;  18.8685;
 15.1910;   9.4299;  32.6462;  -7.2798;  19.1854;
 15.1920;   8.8973;  34.3982;  -8.6880;  18.2663;
 15.1930;   7.6015;  36.9912;  -8.2797;  18.1781;
 15.1940;   4.4996;  37.8391;  -8.0502;  19.3127;
 15.1950;   3.8089;  37.9624;  -7.6053;  18.7047;
 15.1960;   4.5525;  37.9932;  -8.3926;  17.2431;
 15.1970;   4.7474;  39.5309;  -7.8153;  17.0823;
 15.1980;   5.0741;  43.3282;  -5.6518;  17.0150;
 15.1990;   4.2217;  45.0909;  -5.2468;  15.7467;
